date,equity,cash,positions_count,cummax,drawdown,daily_return
2025-01-02,998702.2140299999,405.31402999995044,5,998702.2140299999,0.0,
2025-01-03,988594.91403,405.31402999995044,5,998702.2140299999,-0.010120434157459791,-0.010120434157459779
2025-01-06,988023.01403,405.31402999995044,5,998702.2140299999,-0.010693077325729411,-0.0005784978173402067
2025-01-07,987903.01403,405.31402999995044,5,998702.2140299999,-0.010813233262418257,-0.00012145466076796119
2025-01-08,985658.21403,405.31402999995044,5,998702.2140299999,-0.013060950318077552,-0.0022722878340482033
2025-01-09,980450.31403,405.31402999995044,5,998702.2140299999,-0.018275617840426295,-0.005283677369974704
2025-01-10,969155.9140299999,405.31402999995044,5,998702.2140299999,-0.029584694601580714,-0.011519604653474125
2025-01-13,964026.62429,105.12428999995045,7,998702.2140299999,-0.03472064971206557,-0.005292533085487827
2025-01-14,986809.62429,105.12428999995045,7,998702.2140299999,-0.011908043832215562,0.023633164713453336
2025-01-15,985097.5242899999,105.12428999995045,7,998702.2140299999,-0.01362236865892378,-0.0017349851053914955
2025-01-16,989727.92429,105.12428999995045,7,998702.2140299999,-0.008985951581889997,0.004700448316868444
2025-01-17,990460.32429,105.12428999995045,7,998702.2140299999,-0.008252599848299045,0.0007400013498917168
2025-01-20,992855.9805099999,257.6805099999474,7,998702.2140299999,-0.005853830539144469,0.002418730120984147
2025-01-21,997337.28051,257.6805099999474,7,998702.2140299999,-0.0013667072134466714,0.004513544852394524
2025-01-22,987871.88051,257.6805099999474,7,998702.2140299999,-0.010844407239568348,-0.009490670994630523
2025-01-23,989592.88051,257.6805099999474,7,998702.2140299999,-0.009121170847555801,0.0017421287455934298
2025-01-24,1000110.88051,257.6805099999474,7,1000110.88051,0.0,0.010628613248085728
2025-01-27,988045.98973,42.2897299999604,6,1000110.88051,-0.012063553167072439,-0.012063553167072416
2025-02-05,983147.98973,42.2897299999604,6,1000110.88051,-0.016961010134546182,-0.00495725912650935
2025-02-06,993011.98973,42.2897299999604,6,1000110.88051,-0.007098103738637443,0.010033077525499312
