date,value,return,cum_return,rolling_max,drawdown
2025-01-02,1000000.0,,,1000000.0,0.0
2025-01-03,1000000.0,0.0,0.0,1000000.0,0.0
2025-01-06,1000000.0,0.0,0.0,1000000.0,0.0
2025-01-07,1002928.3481212368,0.002928348121236768,0.002928348121236768,1002928.3481212368,0.0
2025-01-08,1001621.8221212369,-0.0013027112080811198,0.00162182212123696,1002928.3481212368,-0.0013027112080811394
2025-01-09,999643.477121237,-0.0019751416715444448,-0.00035652287876297706,1002928.3481212368,-0.0032752798404325546
2025-01-10,986486.0911212368,-0.013162078582146797,-0.013513908878763137,1002928.3481212368,-0.016394248931941045
2025-01-13,986325.2941212368,-0.00016299976395739435,-0.013674705878763183,1002928.3481212368,-0.01655457643719228
2025-01-14,1006558.4420844128,0.02051366631654994,0.006558442084412919,1006558.4420844128,0.0
2025-01-15,1007075.4490844129,0.0005136383327424277,0.0070754490844129325,1007075.4490844129,0.0
2025-01-16,1009677.3880844128,0.0025836584561420572,0.009677388084412986,1009677.3880844128,0.0
2025-01-17,1011279.3120844129,0.0015865701449839786,0.011279312084413018,1011279.3120844129,0.0
2025-01-20,1013167.5870844128,0.001867214109332327,0.013167587084413013,1013167.5870844128,0.0
2025-01-21,1011858.0367395289,-0.0012925308325865137,0.01185803673952912,1013167.5870844128,-0.001292530832586558
2025-01-22,1002445.507739529,-0.009302222899102985,0.00244550773952934,1013167.5870844128,-0.010582730321780889
2025-01-23,1003775.4697395288,0.0013267175020803545,0.003775469739529136,1013167.5870844128,-0.009270053113238272
2025-01-24,1012685.956739529,0.00887697225985451,0.012685956739529436,1013167.5870844128,-0.0004753708577173859
2025-01-27,1003776.920739529,-0.008797432156246954,0.003776920739529288,1013167.5870844128,-0.00926862097109455
2025-02-05,996771.6609759215,-0.006978901007652527,-0.003228339024078153,1013167.5870844128,-0.016182837190512313
2025-02-06,1004112.8789759215,0.007364994699801564,0.004112878975921941,1013167.5870844128,-0.008937029000846693
2025-02-07,1011137.7709759217,0.006996117814129343,0.011137770975922168,1013167.5870844128,-0.0020034356945156
2025-02-10,1013759.3239759215,0.0025926763644379403,0.013759323975921944,1013759.3239759215,0.0
2025-02-11,1010805.7116246745,-0.0029135242274892503,0.010805711624674919,1013759.3239759215,-0.0029135242274892716
2025-02-12,1018833.9156246744,0.007942380922141945,0.018833915624674846,1018833.9156246744,0.0
2025-02-13,1014425.4336246743,-0.004326987875444943,0.014425433624674744,1018833.9156246744,-0.004326987875444957
2025-02-14,1020213.3256246743,0.005705586441498323,0.020213325624674816,1020213.3256246743,0.0
2025-02-17,1022187.2186246745,0.001934784569483483,0.022187218624674765,1022187.2186246745,0.0
2025-02-18,1017156.4765655883,-0.004921546628077533,0.017156476565588497,1022187.2186246745,-0.004921546628077531
2025-02-19,1022192.2775655884,0.004950861657985417,0.022192277565588503,1022192.2775655884,0.0
2025-02-20,1020228.3895655883,-0.0019212510631337887,0.020228389565588367,1022192.2775655884,-0.0019212510631337887
2025-02-21,1024278.4445655884,0.003969753284090105,0.024278444565588364,1024278.4445655884,0.0
2025-02-24,1022703.6285655884,-0.001537488178488311,0.022703628565588385,1024278.4445655884,-0.0015374881784883155
2025-02-25,1015577.3120379974,-0.006968115032099931,0.015577312037997393,1024278.4445655884,-0.008494889816099997
2025-02-26,1028297.2690379974,0.012524853449585649,0.028297269037997452,1028297.2690379974,0.0
2025-02-27,1028309.1700379974,1.1573501514039464e-05,0.0283091700379976,1028309.1700379974,0.0
2025-02-28,1007968.7210379974,-0.01978048002746924,0.007968721037997506,1028309.1700379974,-0.019780480027469186
2025-03-03,1006188.1850379976,-0.0017664595764105284,0.006188185037997673,1028309.1700379974,-0.0215119981855092
2025-03-04,1005896.6732707539,-0.00028971893287799144,0.005896673270753938,1028309.1700379974,-0.021795484685228777
2025-03-05,1002277.981270754,-0.0035974788426662574,0.0022779812707540703,1028309.1700379974,-0.025314554732874278
2025-03-06,1015362.955270754,0.013055234420504824,0.015362955270754153,1028309.1700379974,-0.01258980775865782
