date,value,cash,return,cum_return,rolling_max,drawdown
2024-01-02,1000000.0,1000000.0,,,1000000.0,0.0
2024-01-03,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-04,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-05,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-08,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-09,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-10,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-11,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-12,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-15,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-16,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-17,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-18,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-19,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-22,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-23,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-24,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-25,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-26,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-29,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-30,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-01-31,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-02-01,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-02-02,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-02-05,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2024-02-06,1057436.00979716,50223.80979716015,0.057436009797160015,0.057436009797160015,1057436.00979716,0.0
2024-02-07,1085796.50979716,50223.80979716015,0.0268200626205648,0.08579650979716003,1085796.50979716,0.0
2024-02-08,1091907.00979716,50223.80979716015,0.005627665906884793,0.09190700979715993,1091907.00979716,0.0
2024-02-19,1100491.20979716,50223.80979716015,0.007861658477304356,0.10049120979715975,1100491.20979716,0.0
2024-02-20,1099166.70979716,50223.80979716015,-0.001203553457045925,0.0991667097971598,1100491.20979716,-0.0012035534570459029
2024-02-21,1105185.4097971602,50223.80979716015,0.005475693492491995,0.10518540979715985,1105185.4097971602,0.0
2024-02-22,1114328.30979716,50223.80979716015,0.008272729551938252,0.11432830979715969,1114328.30979716,0.0
2024-02-23,1114880.9097971602,50223.80979716015,0.0004959041201246794,0.1148809097971597,1114880.9097971602,0.0
2024-02-26,1114183.2097971602,50223.80979716015,-0.0006258067510788168,0.11418320979715979,1114880.9097971602,-0.0006258067510788143
2024-02-27,1139843.30979716,50223.80979716015,0.023030413467342914,0.13984330979715964,1139843.30979716,0.0
2024-02-28,1114404.6097971601,50223.80979716015,-0.022317716638199037,0.1144046097971596,1139843.30979716,-0.02231771663819905
2024-02-29,1148268.9097971602,50223.80979716015,0.030387796050272975,0.14826890979715968,1148268.9097971602,0.0
2024-03-01,1158600.4097971602,50223.80979716015,0.008997456877783971,0.1586004097971596,1158600.4097971602,0.0
2024-03-04,1164841.20979716,50223.80979716015,0.005386499044215176,0.16484120979715922,1164841.20979716,0.0
2024-03-05,1164732.6097971601,50223.80979716015,-9.323159164220662e-05,0.1647326097971593,1164841.20979716,-9.323159164223885e-05
2024-03-06,1159294.00979716,50223.80979716015,-0.004669397898069749,0.15929400979715913,1164841.20979716,-0.004762194154313889
2024-03-07,1137011.0097971603,50223.80979716015,-0.01922118100472081,0.1370110097971593,1164841.20979716,-0.023891840163214984
2024-03-08,1146966.20979716,50223.80979716015,0.00875558804111809,0.1469662097971589,1164841.20979716,-0.01534543923211016
2024-03-11,1166755.60979716,50223.80979716015,0.017253690501919605,0.16675560979715898,1166755.60979716,0.0
2024-03-12,1171519.9097971602,50223.80979716015,0.004083374410197571,0.17151990979715914,1171519.9097971602,0.0
2024-03-13,1165496.6097971601,50223.80979716015,-0.0051414405761511794,0.16549660979715908,1171519.9097971602,-0.005141440576151143
2024-03-14,1160325.00979716,50223.80979716015,-0.004437250144296967,0.1603250097971589,1171519.9097971602,-0.009555876862509706
